dataset,model,metric,mean,std
abalone,LinearRegression,rmse,2.231307982573122,0.09670643198765282
abalone,LinearRegression,mae,1.5925580532148096,0.052037645777354785
abalone,LinearRegression,r2,0.5230431946703624,0.034067249392746225
abalone,Ridge,rmse,2.2312695927200363,0.09656622741246246
abalone,Ridge,mae,1.592439492619993,0.0519004600408159
abalone,Ridge,r2,0.52306100079256,0.034013402787711394
winequality,LinearRegression,rmse,0.7337984177844761,0.01978814927337449
winequality,LinearRegression,mae,0.5695755088713672,0.013260344490658807
winequality,LinearRegression,r2,0.2913890156889159,0.0233981817533695
winequality,Ridge,rmse,0.733795316690474,0.01978546648532101
winequality,Ridge,mae,0.5695776748340727,0.013258669023124907
winequality,Ridge,r2,0.2913954137762692,0.02338145526529204
diabetes,LinearRegression,rmse,307.82333209310065,31.578084815328985
diabetes,LinearRegression,mae,243.94168893215715,21.56681102276281
diabetes,LinearRegression,r2,-0.03968142513574262,0.0814422394057159
diabetes,Ridge,rmse,307.5194188618136,31.4795581991332
diabetes,Ridge,mae,243.86495869566104,21.513398812656593
diabetes,Ridge,r2,-0.03755589866013884,0.0797140480455513
adult,LogisticRegression,accuracy,0.8510241056348843,0.0033842798721504075
adult,LogisticRegression,f1,0.6575378668130962,0.008125829756899803
bank_marketing,LogisticRegression,accuracy,0.91053896576839,0.002322998901069119
bank_marketing,LogisticRegression,f1,0.5139939943032373,0.013265769561785897
breast_cancer,LogisticRegression,accuracy,0.8934658385093168,0.006375757488634209
breast_cancer,LogisticRegression,f1,0.939446310099322,0.0036253422442590303
credit,LogisticRegression,accuracy,0.7458,0.025541339040856908
credit,LogisticRegression,f1,0.826200251076288,0.017891454148534415
heart,LogisticRegression,accuracy,0.8646829268292683,0.02285531139088986
heart,LogisticRegression,f1,0.8728640937257798,0.021672245903759987
ionosphere,LogisticRegression,accuracy,0.8676056338028165,0.035183087314920564
ionosphere,LogisticRegression,f1,0.9031879375450338,0.024790669921902164
sonar,LogisticRegression,accuracy,0.7704761904761902,0.0529749866101843
sonar,LogisticRegression,f1,0.792721036197472,0.05099662128144694
