dataset,task,fold,mse,r2,accuracy,f1,roc_auc
abalone,regression,1,4.891228936978957,0.548163138045879,,,
abalone,regression,2,4.562817950591384,0.49138556239377473,,,
abalone,regression,3,5.441617860453107,0.5322855814064725,,,
abalone,regression,4,5.615603237523549,0.5280908138285556,,,
abalone,regression,5,4.053715709932389,0.5259545416055411,,,
abalone,regression,6,4.287128606515272,0.5544802587333042,,,
abalone,regression,7,4.981315923169324,0.5379535249716618,,,
abalone,regression,8,5.009184181345148,0.4974793682840667,,,
abalone,regression,9,5.3448787035501795,0.5111880477178474,,,
abalone,regression,10,4.830846205929319,0.5465600047806364,,,
abalone,regression,11,6.199093441474291,0.4780298202970612,,,
abalone,regression,12,5.051445266916612,0.4957347858476686,,,
abalone,regression,13,4.079186241994089,0.5433638728856791,,,
abalone,regression,14,5.249865878724846,0.5270084601728855,,,
abalone,regression,15,4.024049394555549,0.597090343567963,,,
abalone,regression,16,4.901165136532363,0.5608930074272842,,,
abalone,regression,17,5.264424504973098,0.5296814316379727,,,
abalone,regression,18,4.148204564722502,0.5349738616393451,,,
abalone,regression,19,5.419967829662305,0.4894952240819205,,,
abalone,regression,20,4.740732881850343,0.5286903852759544,,,
abalone,regression,21,4.558346999413527,0.5386346938816777,,,
abalone,regression,22,4.6932205909925475,0.5196540446626366,,,
abalone,regression,23,4.717101764592979,0.5439918475973312,,,
abalone,regression,24,4.95648454469721,0.5473399805306731,,,
abalone,regression,25,5.606948979554483,0.49002741527733695,,,
abalone,regression,26,5.612228978962743,0.4438983746411237,,,
abalone,regression,27,4.9810358765601155,0.49810203048816193,,,
abalone,regression,28,4.3929699854964825,0.5657218116344023,,,
abalone,regression,29,4.823664484298544,0.5358259648570063,,,
abalone,regression,30,5.029880038072079,0.5598810937437103,,,
abalone,regression,31,4.770255673161066,0.5406935503983455,,,
abalone,regression,32,5.284234775607268,0.5121630573029217,,,
abalone,regression,33,5.144892545978374,0.5214363275879901,,,
abalone,regression,34,4.443165962918439,0.56353682986839,,,
abalone,regression,35,5.062586212191279,0.4828275927039094,,,
abalone,regression,36,4.676769197509437,0.5376629090620004,,,
abalone,regression,37,5.017748406784849,0.5288246951691715,,,
abalone,regression,38,5.31579615400169,0.5244621357003445,,,
abalone,regression,39,5.074130028160693,0.5230117626261243,,,
abalone,regression,40,4.476739953455133,0.5195748933578994,,,
abalone,regression,41,4.807945758678359,0.5628628472756614,,,
abalone,regression,42,5.592202169555249,0.5450824492498657,,,
abalone,regression,43,4.733012610430812,0.48350898586875657,,,
abalone,regression,44,4.5886487356408585,0.5277585473621194,,,
abalone,regression,45,4.951170175865152,0.49197410807345465,,,
abalone,regression,46,4.731729980395769,0.5440587946700473,,,
abalone,regression,47,5.2392799122242275,0.49662320951280203,,,
abalone,regression,48,4.927985536537121,0.5409756572504542,,,
abalone,regression,49,4.774082647309062,0.5065498000217534,,,
abalone,regression,50,4.862703226713459,0.5473677711849332,,,
winequality,regression,1,0.47119110923082663,0.3408065203047844,,,
winequality,regression,2,0.5658173470431905,0.2666819661183256,,,
winequality,regression,3,0.5398343514244303,0.30838350141074145,,,
winequality,regression,4,0.5516822992238058,0.2671586890760975,,,
winequality,regression,5,0.5678167519272869,0.2834244844306151,,,
winequality,regression,6,0.5651249818430697,0.26014430575014014,,,
winequality,regression,7,0.5082642732673012,0.3089184984349582,,,
winequality,regression,8,0.5288001064256499,0.30571070219425833,,,
winequality,regression,9,0.5287926776258327,0.2963282816984708,,,
winequality,regression,10,0.5693923234288307,0.2869968194057778,,,
winequality,regression,11,0.5411874724898298,0.2988138892172455,,,
winequality,regression,12,0.5474586718318996,0.2957251582014524,,,
winequality,regression,13,0.5795598348779752,0.24472839338776753,,,
winequality,regression,14,0.5178589341913277,0.31237139288022586,,,
winequality,regression,15,0.5162952470422119,0.30256917000150874,,,
winequality,regression,16,0.5372174209988955,0.31214210757696403,,,
winequality,regression,17,0.5664608725186727,0.2802000072508237,,,
winequality,regression,18,0.5571282654670373,0.2664303944649842,,,
winequality,regression,19,0.5157056010645572,0.28270859928062086,,,
winequality,regression,20,0.5228512703160015,0.31479121545841005,,,
winequality,regression,21,0.5515241778238212,0.28492122842202317,,,
winequality,regression,22,0.5619395966691442,0.2916546380874053,,,
winequality,regression,23,0.5077689870122065,0.2961529580839741,,,
winequality,regression,24,0.5646118975896234,0.2656340863542739,,,
winequality,regression,25,0.5114680408265871,0.32407323415205336,,,
winequality,regression,26,0.46330930494578,0.32185582385897227,,,
winequality,regression,27,0.5565766478599522,0.2942626262213328,,,
winequality,regression,28,0.5873832779512108,0.25966536105929294,,,
winequality,regression,29,0.5634468914742929,0.2850691137435004,,,
winequality,regression,30,0.5305351284953629,0.300158924472004,,,
winequality,regression,31,0.5553853576218541,0.27974758633583874,,,
winequality,regression,32,0.510273387289467,0.32484232094169274,,,
winequality,regression,33,0.52370303056277,0.25968187452277613,,,
winequality,regression,34,0.565965322236083,0.28408079175563306,,,
winequality,regression,35,0.5456488779336144,0.30694653237532343,,,
winequality,regression,36,0.55105105989787,0.274309051670542,,,
winequality,regression,37,0.5203520631387006,0.3314268524771301,,,
winequality,regression,38,0.53949664663915,0.30700406425234594,,,
winequality,regression,39,0.5443360223023928,0.2749309292836247,,,
winequality,regression,40,0.5435457240907663,0.26977541959669304,,,
winequality,regression,41,0.5110109703321486,0.2991578454743289,,,
winequality,regression,42,0.5584467210871502,0.3006712203253219,,,
winequality,regression,43,0.5261053071452317,0.28144820652983527,,,
winequality,regression,44,0.5232262066334602,0.3157283658567247,,,
winequality,regression,45,0.580897149233985,0.25968518283845243,,,
winequality,regression,46,0.6168397596597502,0.2547150012797398,,,
winequality,regression,47,0.5301687850308954,0.3024008032627211,,,
winequality,regression,48,0.5034757285315954,0.3084766757669314,,,
winequality,regression,49,0.5141349153471312,0.28383421748044857,,,
winequality,regression,50,0.5354854682583249,0.3095147120353553,,,
diabetes,regression,1,89068.45625330418,-0.13202729953712455,,,
diabetes,regression,2,82310.27489944134,0.11717226494141142,,,
diabetes,regression,3,126367.32901361049,0.02053497661187631,,,
diabetes,regression,4,63251.97703385407,0.10097971267635386,,,
diabetes,regression,5,117345.9456863679,-0.1040791246694508,,,
diabetes,regression,6,91154.08150734393,0.058854117712820564,,,
diabetes,regression,7,105986.02727140141,0.010665517925272594,,,
diabetes,regression,8,99173.7248171685,-0.12607840146665716,,,
diabetes,regression,9,81891.53335244933,-0.1554180114369368,,,
diabetes,regression,10,111182.86914811861,0.003804540790962485,,,
diabetes,regression,11,102744.01634168476,0.04210422947516501,,,
diabetes,regression,12,122437.92322276207,-0.050798064191091674,,,
diabetes,regression,13,67908.63797681409,-0.09669974768493428,,,
diabetes,regression,14,105345.97938585728,-0.07575004924417938,,,
diabetes,regression,15,102943.0669458819,-0.13786615856985174,,,
diabetes,regression,16,70314.9034112253,-0.04554197726568043,,,
diabetes,regression,17,79528.07905602243,-0.04936961546346663,,,
diabetes,regression,18,69703.64934005271,0.0027082030180259897,,,
diabetes,regression,19,107374.86784622978,0.04942648861576071,,,
diabetes,regression,20,153564.11173081264,-0.046139521781731974,,,
diabetes,regression,21,80322.28678185394,0.04725302135252607,,,
diabetes,regression,22,93914.3633849131,0.017053465646604926,,,
diabetes,regression,23,89626.50623942084,-0.02992355232240329,,,
diabetes,regression,24,114009.01405501897,0.003961737528738074,,,
diabetes,regression,25,100140.61685665573,-0.09850852967363188,,,
diabetes,regression,26,105950.04092198369,0.019711638649068774,,,
diabetes,regression,27,65605.60048115652,-0.154435033769722,,,
diabetes,regression,28,138326.11570769362,-0.054046304510327214,,,
diabetes,regression,29,83833.17929176851,0.01509169013785594,,,
diabetes,regression,30,94088.17313902077,-0.04512095204626032,,,
diabetes,regression,31,95287.97695246286,-0.19286577064757315,,,
diabetes,regression,32,91896.87585097991,-0.039778006224315154,,,
diabetes,regression,33,132405.56089035678,-0.1463803177059062,,,
diabetes,regression,34,79415.46174416786,0.0020730202404313225,,,
diabetes,regression,35,108927.79154908906,0.03242153385102653,,,
diabetes,regression,36,91949.30436292259,-0.03209908549363405,,,
diabetes,regression,37,100227.26451737664,-0.029651769477295975,,,
diabetes,regression,38,63198.72028556808,-0.055289642282456475,,,
diabetes,regression,39,116071.2833777166,-0.026789377165757022,,,
diabetes,regression,40,114218.7366353184,-0.00944840986625839,,,
diabetes,regression,41,102742.77740916138,0.008010695080398866,,,
diabetes,regression,42,89707.88709976847,-0.011680139859457261,,,
diabetes,regression,43,101973.27949788705,0.017744510927649282,,,
diabetes,regression,44,65107.49474403722,-0.005679444506771603,,,
diabetes,regression,45,123074.52864666567,-0.09697119219430084,,,
diabetes,regression,46,117111.81694888281,-0.04534503194316741,,,
diabetes,regression,47,105083.07849207272,0.003641939498041591,,,
diabetes,regression,48,67860.96573125466,-0.05035638407275722,,,
diabetes,regression,49,76920.03401026057,-0.03398439747972626,,,
diabetes,regression,50,117274.98738016436,-0.05857824085683094,,,
adult,classification,1,,,0.8489175495163519,0.6515580736543909,0.900622343091574
adult,classification,2,,,0.8495085995085995,0.6568627450980392,0.9044813389554851
adult,classification,3,,,0.8485872235872236,0.6510969568294409,0.9035080658476983
adult,classification,4,,,0.8576474201474201,0.6741652021089631,0.9083528890925303
adult,classification,5,,,0.8528869778869779,0.6598011363636364,0.9103733498860711
adult,classification,6,,,0.852141870105942,0.6554561717352415,0.9073545958199005
adult,classification,7,,,0.8467444717444718,0.651048951048951,0.897548977115118
adult,classification,8,,,0.8535012285012284,0.6624203821656051,0.9078606412225083
adult,classification,9,,,0.8502764127764127,0.6615758417216244,0.904254306394888
adult,classification,10,,,0.8535012285012284,0.6633733239237827,0.9103416169258965
adult,classification,11,,,0.8526024873330262,0.6617336152219874,0.9044330278597668
adult,classification,12,,,0.851504914004914,0.6540250447227192,0.9094143953090945
adult,classification,13,,,0.8582616707616708,0.6762539459838653,0.9118132007050394
adult,classification,14,,,0.8409090909090909,0.6375087473757872,0.9000442713493164
adult,classification,15,,,0.8518120393120393,0.6600915815427968,0.9020941431791164
adult,classification,16,,,0.8533701827115001,0.6666666666666666,0.9126596465499639
adult,classification,17,,,0.8490479115479116,0.6535072259428975,0.9082049309408228
adult,classification,18,,,0.8502764127764127,0.6499102333931778,0.8992710706855558
adult,classification,19,,,0.8449017199017199,0.6443661971830986,0.899919274445215
adult,classification,20,,,0.856418918918919,0.6747826086956522,0.9073910966085464
adult,classification,21,,,0.8535237217871948,0.6650280898876404,0.9072212992011485
adult,classification,22,,,0.8495085995085995,0.6534653465346535,0.9059482788867974
adult,classification,23,,,0.847972972972973,0.6481876332622601,0.9022086914255993
adult,classification,24,,,0.8488943488943489,0.6576200417536534,0.9076694694868238
adult,classification,25,,,0.8551904176904177,0.6664308454191723,0.9039349128607753
adult,classification,26,,,0.8532166436358053,0.6633802816901408,0.907837892748045
adult,classification,27,,,0.8496621621621622,0.657092819614711,0.9053743766924246
adult,classification,28,,,0.8493550368550369,0.6480086114101185,0.9040067635063733
adult,classification,29,,,0.8502764127764127,0.6531483457844184,0.900764970733439
adult,classification,30,,,0.8502764127764127,0.6625129802699896,0.9082189914800871
adult,classification,31,,,0.8515277138031629,0.6678117485400206,0.9056646679908668
adult,classification,32,,,0.8488943488943489,0.650319829424307,0.9005830866934151
adult,classification,33,,,0.8538083538083538,0.6708160442600276,0.9114104759015256
adult,classification,34,,,0.8485872235872236,0.6445565969718817,0.9036561529951787
