dataset,model,metric,mean,std,rsi
abalone,Ridge,mae,1.592439492619993,0.0519004600408159,0.03259179408784043
abalone,LinearRegression,mae,1.5925580532148096,0.0520376457773547,0.0326755094875877
abalone,Ridge,r2,0.52306100079256,0.0340134027877113,0.06502760239469779
abalone,LinearRegression,r2,0.5230431946703624,0.0340672493927462,0.06513276482684456
abalone,Ridge,rmse,2.2312695927200363,0.0965662274124624,0.04327860144176618
abalone,LinearRegression,rmse,2.231307982573122,0.0967064319876528,0.043340691981091695
adult,LogisticRegression,accuracy,0.8510241056348843,0.0033842798721504,0.003976714466420016
adult,LogisticRegression,f1,0.6575378668130962,0.0081258297568998,0.012357964715071765
bank_marketing,LogisticRegression,accuracy,0.91053896576839,0.0023229989010691,0.0025512350249709045
bank_marketing,LogisticRegression,f1,0.5139939943032373,0.0132657695617858,0.025809191758687147
breast_cancer,LogisticRegression,accuracy,0.8934658385093168,0.0063757574886342,0.007135983508078709
breast_cancer,LogisticRegression,f1,0.939446310099322,0.003625342244259,0.0038590201539838017
credit,LogisticRegression,accuracy,0.7458,0.0255413390408569,0.034246901368807856
credit,LogisticRegression,f1,0.826200251076288,0.0178914541485344,0.021655106162491805
diabetes,Ridge,mae,243.86495869566104,21.513398812656597,0.08821849160996074
diabetes,LinearRegression,mae,243.94168893215715,21.56681102276281,0.08840969789612621
diabetes,LinearRegression,r2,-0.0396814251357426,0.0814422394057159,2.0524020779777317
diabetes,Ridge,r2,-0.0375558986601388,0.0797140480455513,2.122544018102766
diabetes,Ridge,rmse,307.5194188618136,31.4795581991332,0.10236608249210695
diabetes,LinearRegression,rmse,307.82333209310065,31.578084815328985,0.10258509191167564
heart,LogisticRegression,accuracy,0.8646829268292683,0.0228553113908898,0.026432014188945103
heart,LogisticRegression,f1,0.8728640937257798,0.0216722459037599,0.024828889238934008
ionosphere,LogisticRegression,accuracy,0.8676056338028165,0.0351830873149205,0.04055193505453501
ionosphere,LogisticRegression,f1,0.9031879375450338,0.0247906699219021,0.027447963919099636
sonar,LogisticRegression,accuracy,0.7704761904761902,0.0529749866101843,0.06875616309109213
sonar,LogisticRegression,f1,0.792721036197472,0.0509966212814469,0.06433110634488487
winequality,Ridge,mae,0.5695776748340727,0.0132586690231249,0.023278070066540736
winequality,LinearRegression,mae,0.5695755088713672,0.0132603444906588,0.023281100195011218
winequality,Ridge,r2,0.2913954137762692,0.023381455265292,0.08023961311636864
winequality,LinearRegression,r2,0.2913890156889159,0.0233981817533695,0.08029877755704139
winequality,Ridge,rmse,0.733795316690474,0.019785466485321,0.026963195369733885
winequality,LinearRegression,rmse,0.7337984177844761,0.0197881492733744,0.026966737449666153
