dataset,task,model,seed,metric,value
abalone,regression,LinearRegression,42,rmse,2.211612293549427
abalone,regression,LinearRegression,42,r2,0.548163138045879
abalone,regression,RandomForest,42,rmse,2.2455076164960177
abalone,regression,RandomForest,42,r2,0.5342072408275458
abalone,regression,SVR,42,rmse,2.2091797469105945
abalone,regression,SVR,42,r2,0.5491565398157978
winequality,regression,LinearRegression,42,rmse,0.6864336160407841
winequality,regression,LinearRegression,42,r2,0.3408065203047844
winequality,regression,RandomForest,42,rmse,0.5606023203113429
winequality,regression,RandomForest,42,r2,0.5603312511227132
winequality,regression,SVR,42,rmse,0.6401948749026075
winequality,regression,SVR,42,r2,0.4266230873980904
diabetes,regression,LinearRegression,42,rmse,298.44338869089427
diabetes,regression,LinearRegression,42,r2,-0.13202729953712478
diabetes,regression,RandomForest,42,rmse,306.39040194864134
diabetes,regression,RandomForest,42,r2,-0.1931176981426661
diabetes,regression,SVR,42,rmse,293.9582908196471
diabetes,regression,SVR,42,r2,-0.09825806777906276
adult,classification,LogisticRegression,42,accuracy,0.8478427759864886
adult,classification,LogisticRegression,42,f1,0.6426253155427335
adult,classification,LogisticRegression,42,roc_auc,0.9026578062664354
adult,classification,RandomForest,42,accuracy,0.8515277138031629
adult,classification,RandomForest,42,f1,0.6608207646439845
adult,classification,RandomForest,42,roc_auc,0.901565052917635
adult,classification,SVM,42,accuracy,0.8526024873330262
adult,classification,SVM,42,f1,0.6415235250186706
adult,classification,SVM,42,roc_auc,0.8993807229810443
bank_marketing,classification,LogisticRegression,42,accuracy,0.9098082058752124
bank_marketing,classification,LogisticRegression,42,f1,0.517845554834523
bank_marketing,classification,LogisticRegression,42,roc_auc,0.9351811320671821
bank_marketing,classification,RandomForest,42,accuracy,0.9109007040543822
bank_marketing,classification,RandomForest,42,f1,0.5457920792079208
bank_marketing,classification,RandomForest,42,roc_auc,0.9406212815625546
bank_marketing,classification,SVM,42,accuracy,0.910536537994659
bank_marketing,classification,SVM,42,f1,0.5135313531353135
bank_marketing,classification,SVM,42,roc_auc,0.9042167126395203
breast_cancer,classification,LogisticRegression,42,accuracy,0.9006211180124224
breast_cancer,classification,LogisticRegression,42,f1,0.9439775910364145
breast_cancer,classification,LogisticRegression,42,roc_auc,0.9016666666666667
breast_cancer,classification,RandomForest,42,accuracy,0.9130434782608695
breast_cancer,classification,RandomForest,42,f1,0.9505649717514124
breast_cancer,classification,RandomForest,42,roc_auc,0.8868187347931874
breast_cancer,classification,SVM,42,accuracy,0.8993788819875776
breast_cancer,classification,SVM,42,f1,0.9434752267969295
breast_cancer,classification,SVM,42,roc_auc,0.8702433090024331
credit,classification,LogisticRegression,42,accuracy,0.805
credit,classification,LogisticRegression,42,f1,0.8677966101694915
credit,classification,LogisticRegression,42,roc_auc,0.8166846976800095
credit,classification,RandomForest,42,accuracy,0.81
credit,classification,RandomForest,42,f1,0.875
credit,classification,RandomForest,42,roc_auc,0.8249188604399567
credit,classification,SVM,42,accuracy,0.785
credit,classification,SVM,42,f1,0.8599348534201955
credit,classification,SVM,42,roc_auc,0.8044236086068037
heart,classification,LogisticRegression,42,accuracy,0.8195121951219512
heart,classification,LogisticRegression,42,f1,0.832579185520362
heart,classification,LogisticRegression,42,roc_auc,0.9081477251094613
heart,classification,RandomForest,42,accuracy,1.0
heart,classification,RandomForest,42,f1,1.0
heart,classification,RandomForest,42,roc_auc,1.0
heart,classification,SVM,42,accuracy,0.8731707317073171
heart,classification,SVM,42,f1,0.8818181818181818
heart,classification,SVM,42,roc_auc,0.9559299447934513
ionosphere,classification,LogisticRegression,42,accuracy,0.8591549295774648
ionosphere,classification,LogisticRegression,42,f1,0.8958333333333334
ionosphere,classification,LogisticRegression,42,roc_auc,0.8579734219269104
ionosphere,classification,RandomForest,42,accuracy,0.9295774647887324
ionosphere,classification,RandomForest,42,f1,0.9438202247191011
ionosphere,classification,RandomForest,42,roc_auc,0.9875415282392026
ionosphere,classification,SVM,42,accuracy,0.9436619718309859
ionosphere,classification,SVM,42,f1,0.9555555555555556
ionosphere,classification,SVM,42,roc_auc,0.9983388704318937
sonar,classification,LogisticRegression,42,accuracy,0.7857142857142857
sonar,classification,LogisticRegression,42,f1,0.8363636363636363
sonar,classification,LogisticRegression,42,roc_auc,0.7654320987654321
sonar,classification,RandomForest,42,accuracy,0.8095238095238095
sonar,classification,RandomForest,42,f1,0.8518518518518519
sonar,classification,RandomForest,42,roc_auc,0.9098765432098765
sonar,classification,SVM,42,accuracy,0.7380952380952381
sonar,classification,SVM,42,f1,0.7843137254901961
sonar,classification,SVM,42,roc_auc,0.8888888888888888
